SWC_F_MDS_1,is_leap_year,Month,Year,Day,Percentile,flashdrought,FD_Period,slowdrought,SD_Period,date
47.5332,True,11,2008,7,94.44444444444444,,,,,2008-11-07
48.3458,True,11,2008,12,94.44444444444444,,,,,2008-11-12
46.604,True,11,2008,17,94.44444444444444,,,,,2008-11-17
45.7748,True,11,2008,22,88.88888888888889,,,,,2008-11-22
46.3,True,11,2008,27,88.88888888888889,,,,,2008-11-27
47.4486,True,12,2008,2,88.88888888888889,,,,,2008-12-02
46.425,True,12,2008,7,88.88888888888889,,,,,2008-12-07
46.79600000000001,True,12,2008,12,88.88888888888889,,,,,2008-12-12
47.1574,True,12,2008,17,88.88888888888889,,,,,2008-12-17
47.9976,True,12,2008,22,88.88888888888889,,,,,2008-12-22
48.0874,True,12,2008,27,88.88888888888889,,,,,2008-12-27
49.604,True,1,2009,1,90.9090909090909,,,,,2009-01-01
48.346000000000004,False,1,2009,1,86.36363636363636,,,,,2009-01-01
48.229,False,1,2009,6,88.23529411764706,,,,,2009-01-06
49.0542,False,1,2009,11,94.11764705882352,,,,,2009-01-11
47.15,False,1,2009,16,94.11764705882352,,,,,2009-01-16
44.9692,False,1,2009,21,88.23529411764706,,,,,2009-01-21
43.4722,False,1,2009,26,82.35294117647058,,,,,2009-01-26
44.2166,False,1,2009,31,88.23529411764706,,,,,2009-01-31
44.153999999999996,False,2,2009,5,88.23529411764706,,,,,2009-02-05
45.5582,False,2,2009,10,88.23529411764706,,,,,2009-02-10
45.312599999999996,False,2,2009,15,88.23529411764706,,,,,2009-02-15
44.504200000000004,False,2,2009,20,88.23529411764706,,,,,2009-02-20
45.312599999999996,False,2,2009,25,88.23529411764706,,,,,2009-02-25
45.0456,False,3,2009,2,88.23529411764706,,,,,2009-03-02
46.3334,False,3,2009,7,88.23529411764706,,,,,2009-03-07
45.354,False,3,2009,12,76.47058823529412,,,,,2009-03-12
45.9876,False,3,2009,17,88.23529411764706,,,,,2009-03-17
46.225,False,3,2009,22,76.47058823529412,,,,,2009-03-22
46.5584,False,3,2009,27,82.35294117647058,,,,,2009-03-27
46.178999999999995,False,4,2009,1,88.23529411764706,,,,,2009-04-01
46.4624,False,4,2009,6,88.23529411764706,,,,,2009-04-06
46.4708,False,4,2009,11,88.23529411764706,,,,,2009-04-11
46.8584,False,4,2009,16,88.23529411764706,,,,,2009-04-16
47.2168,False,4,2009,21,88.23529411764706,,,,,2009-04-21
48.129200000000004,False,4,2009,26,88.23529411764706,,,,,2009-04-26
47.3874,False,5,2009,1,88.23529411764706,,,,,2009-05-01
47.345600000000005,False,5,2009,6,88.23529411764706,,,,,2009-05-06
46.7668,False,5,2009,11,88.23529411764706,,,,,2009-05-11
46.375,False,5,2009,16,82.35294117647058,,,,,2009-05-16
42.3164,False,5,2009,21,52.94117647058824,,,,,2009-05-21
45.6542,False,5,2009,26,82.35294117647058,,,,,2009-05-26
39.6916,False,5,2009,31,44.44444444444444,,,,,2009-05-31
37.800599999999996,False,6,2009,5,50.0,,,,,2009-06-05
45.5792,False,6,2009,10,83.33333333333334,,,,,2009-06-10
